particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
170,7751.239013671875,4266.6717529296875,1601.0027066666667,1600.9824713333333,1600.125,1636.431,90.03323,0.16575159,23617.0886974351,0.00022475404375383334,5.0,5.0,0.5
171,7742.8466796875,4217.7001953125,1600.9806613333335,1600.960092,1600.125,1642.0032,85.41991,0.16561504,23525.765695182803,0.000240802573408172,5.0,5.0,0.5
172,6705.328369140625,4136.163330078125,1600.9651965384617,1600.94428,1600.125,637.5036,78.00961,0.17616732,26784.409548166648,0.00026812770436104497,5.0,5.0,0.5
173,4115.7257080078125,3768.4814453125,1600.899775,1600.89113,1599.875,628.47064,75.165955,0.13374016,42640.33270549002,0.00011501217602155119,5.0,5.0,0.5
174,3595.6634521484375,3587.53662109375,1600.8661942857143,1600.85915,1599.875,49981.293,95.61907,0.0887881,48153.21431967987,7.367029997126966e-05,5.0,5.0,0.5
175,3595.635986328125,3450.958251953125,1600.8707985714286,1600.858992857143,1599.875,526118.06,95.54932,0.062169928,46683.36710848616,0.0001235562401664287,5.0,5.0,0.5
176,3139.53857421875,3870.0836181640625,1601.2434375,1601.2427566666665,1600.2656,6953.236,25.417315,0.021482974,59733.2841491818,2.6786202480289782e-05,5.0,5.0,0.5
177,3139.4683837890625,3939.55078125,1601.2428075,1601.2422883333331,1600.2188,7506.14,31.312668,0.016015476,59702.70101893132,1.658008411907707e-05,5.0,5.0,0.5
178,2616.1956787109375,3864.996337890625,1601.242567,1601.242066,1600.2031,4410.443,21.975098,0.0151042845,71582.15653862002,2.279853349562526e-05,5.0,5.0,0.5
179,14020.645141601562,4731.060791015625,1601.0959035185185,1601.0838274074074,1600.1562,16129.284,145.08858,0.09624776,13253.036044122202,8.323267991395862e-05,5.0,5.0,0.5
180,12982.785034179688,4694.22607421875,1601.0972966000002,1601.0849575999998,1600.1562,8636.767,132.68439,0.10035381,14303.561734704233,9.299511615549295e-05,5.0,5.0,0.5
181,11413.1591796875,4585.2783203125,1601.0777015909089,1601.0636995454545,1600.1562,6160.2188,125.83116,0.11434095,16246.87624169393,0.00011127645400061549,5.0,5.0,0.5
182,10888.2080078125,4547.37548828125,1601.065489047619,1601.0519452380952,1599.9688,5054.563,121.210945,0.117416315,17009.61438069192,0.00011173751272457287,5.0,5.0,0.5
183,10365.054321289062,4558.9599609375,1601.0564705000002,1601.0426095,1599.875,3460.3965,120.43055,0.116979755,17853.923564765013,0.00011509538106143112,5.0,5.0,0.5
184,8818.1396484375,4396.6949462890625,1601.0758070588236,1601.0610652941177,1599.875,2769.4893,114.478264,0.12961912,20986.02000686527,0.00012877348248840106,5.0,5.0,0.5
185,7268.1976318359375,4283.30078125,1601.092059642857,1601.07878,1600.1562,1573.2498,86.663956,0.13120863,25468.867593073133,0.00015323144150896753,5.0,5.0,0.5
186,6745.0469970703125,4242.718505859375,1601.0806419230769,1601.0664915384614,1600.1406,1137.6377,81.61684,0.1406938,27390.199352796113,0.00017337580349868572,5.0,5.0,0.5
187,6221.9451904296875,4203.41796875,1601.06752625,1601.0523183333335,1600.1406,736.33453,76.69517,0.15100248,29643.44657003321,0.0001982904158623931,5.0,5.0,0.5
188,5698.8800048828125,4154.5989990234375,1601.051814090909,1601.035700909091,1600.125,568.2341,71.4054,0.16371709,32217.897884674665,0.00022565773891001335,5.0,5.0,0.5
189,4648.1201171875,3972.406005859375,1600.9806261111112,1600.9708122222223,1599.875,724.846,86.33708,0.12813987,39269.22671363418,0.00011366945316938708,5.0,5.0,0.5
190,3089.3890380859375,3834.027099609375,1600.9184991666668,1600.9084283333334,1599.875,805.29205,86.76184,0.1104764,58424.27080710194,0.00011607445437086503,5.0,5.0,0.5
191,3605.5633544921875,3729.91943359375,1600.9237071428572,1600.9157214285715,1599.875,1480.1793,94.93264,0.10611995,49462.489134281066,8.411979567151087e-05,5.0,5.0,0.5
192,3597.296142578125,3618.634033203125,1600.8802857142857,1600.8684799999999,1599.875,545457.44,103.67428,0.05482131,49055.017331760384,0.00011387312729905254,5.0,5.0,0.5
193,3662.9425048828125,3948.3001708984375,1601.2445507142857,1601.2436,1600.25,7780.4336,33.08088,0.022752961,51291.53607693873,2.873908760284872e-05,5.0,5.0,0.5
194,3662.8509521484375,4015.545654296875,1601.243642857143,1601.2430757142859,1600.2188,8454.653,38.99729,0.016596204,51234.87444918033,1.454313451905324e-05,5.0,5.0,0.5
195,3139.53857421875,3977.880859375,1601.24344,1601.242758333333,1600.2188,8098.677,35.19121,0.0150497155,59743.63438504539,1.9370366461970608e-05,5.0,5.0,0.5
196,14543.954467773438,4806.0333251953125,1601.1012437499999,1601.0895792857143,1600.1562,17300.361,152.72612,0.09325896,12791.692166237606,7.637504498858435e-05,5.0,5.0,0.5
197,12459.710693359375,4698.748779296875,1601.091586875,1601.0786854166665,1600.1562,7804.655,137.14246,0.10396198,14917.46922899326,9.407340880930472e-05,5.0,5.0,0.5
198,12449.4140625,4659.9212646484375,1601.0747610416668,1601.0615241666667,1599.9688,7105.35,132.38782,0.108395554,14904.825779511893,9.998559732878858e-05,5.0,5.0,0.5
199,11411.517333984375,4670.7611083984375,1601.0733677272729,1601.060714090909,1599.875,5468.5415,131.88268,0.106904574,16251.27429201891,9.594616083952145e-05,5.0,5.0,0.5
200,8837.789916992188,4433.184814453125,1601.1183800000001,1601.1073005882354,1600.1719,4184.036,102.87488,0.10932058,21017.558418461605,0.00010769793352574042,5.0,5.0,0.5
201,8314.935302734375,4396.075439453125,1601.1111834375,1601.09983875,1600.1719,3067.912,96.980286,0.117149144,22323.30803271707,0.0001169793162044923,5.0,5.0,0.5
202,6239.8956298828125,4171.49658203125,1601.1193087499998,1601.1121524999999,1600.1562,2282.7544,91.513565,0.09591717,29733.503093745818,7.819878938183865e-05,5.0,5.0,0.5
203,6741.217041015625,4183.123779296875,1601.0633465384615,1601.0547069230768,1599.875,1945.2133,107.520294,0.10078749,27442.91339018995,8.035334584823438e-05,5.0,5.0,0.5
204,5701.904296875,4109.0118408203125,1601.056196818182,1601.0466972727272,1599.875,1796.295,109.64766,0.0890155,32373.070163790897,8.663701090535784e-05,5.0,5.0,0.5
205,5172.802734375,4028.7628173828125,1601.014111,1601.003711,1599.875,1276.1414,103.350334,0.09074912,35585.88866148221,0.00010062860544831109,5.0,5.0,0.5
206,5158.5357666015625,4004.486083984375,1600.9550165,1600.946643,1599.875,2285.178,113.65447,0.07922591,35462.48091635367,7.367505938698238e-05,5.0,5.0,0.5
207,3616.3604736328125,3837.31689453125,1600.9848735714288,1600.97742,1599.875,1488.7744,104.9788,0.09921553,50555.42759388262,7.100073135790934e-05,5.0,5.0,0.5
