particleid,row,col,zelev,hypvol_ft,cel_res_t,res_time,Len_ft,tot_len_ft,vel_ftday,flow_ftday,hyd_grad,hyd_head,head_strt,head_end,tot_vol_ft,xcoord,ycoord,geometry
39,131,266,1600.4375,48.66943359375,1732.8333,2255.1345,9.254145,28.51558,0.025167432,0.24680485315557107,0.00049907507647656,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
39,132,266,1600.1562,24.4598388671875,5.2894897,522.30115,1.0419613,19.261435,0.1969871,4.624234102212017,0.02402200514039103,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
39,133,265,1600.1875,50.1708984375,328.2281,517.01166,7.157595,18.219473,0.094828814,7.229649759142354,0.014277480690597205,1600.81592,1600.8244049999998,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
39,134,264,1600.25,51.019287109375,159.85034,188.78355,8.4247,11.061878,0.1238188,2.058858855729593,0.006931211591851272,1600.83289,1600.8525399999999,1600.83289,513.0096435546875,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
39,135,263,1600.2188,2702.215576171875,28.93321,28.93321,2.6371782,2.6371782,0.15892532,264924.04412011476,0.0,1600.87219,1600.87219,1600.87219,513.9923095703125,2407411.0149272773,10515152.860625861,POINT (2407411.0149272773 10515152.860625861)
40,131,266,1600.4375,48.66943359375,352.0913,543.9929,6.331171,23.209326,0.026622832,0.33032331488579403,0.0004960129785505212,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
40,132,266,1600.1562,24.4598388671875,34.517334,191.90163,4.3061924,16.878155,0.12475449,0.7086247993040181,0.005812559608629181,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
40,133,265,1600.1875,50.1708984375,113.18338,157.3843,7.3522444,12.571961,0.08309718,1.109719605359685,0.002200377722329935,1600.81592,1600.8244049999998,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
40,134,264,1600.25,51.019287109375,43.200916,44.200916,5.022525,5.219717,0.12663889,2.490001788605812,0.003497028471765977,1600.83289,1600.84296,1600.83289,513.0096435546875,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
40,135,264,1600.0312,2627.33154296875,1.0,1.0,0.19719228,0.19719228,0.19719228,260131.83593826377,0.0,1600.8530300000002,1600.8530299999998,1600.8530300000002,513.51318359375,2407416.0149272773,10515152.860625861,POINT (2407416.0149272773 10515152.860625861)
41,131,268,1599.875,48.4375,229.53178,434.83264,7.539414,25.527853,0.028103743,0.5449415681814447,0.0005203440095494774,1600.78125,1600.784605,1600.78125,511.71875,2407436.0149272773,10515132.860625861,POINT (2407436.0149272773 10515132.860625861)
41,132,267,1599.9688,48.773193359375,104.198494,205.30086,6.910649,17.98844,0.06380517,5.797672746972609,0.0,1600.78796,1600.78796,1600.78796,511.8865966796875,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
41,135,265,1600.0,2626.263427734375,22.314947,22.314947,3.336456,3.336456,0.16404846,257478.0146049996,0.0,1600.84241,1600.84241,1600.84241,513.2476806640625,2407421.0149272773,10515152.860625861,POINT (2407421.0149272773 10515152.860625861)
42,135,266,1599.9844,2551.1993408203125,1.0,1.0,0.1507709,0.1507709,0.1507709,252593.99414136662,0.0,1600.82288,1600.82288,1600.82288,512.7593994140625,2407426.0149272773,10515152.860625861,POINT (2407426.0149272773 10515152.860625861)
43,132,270,1599.875,48.333740234375,362.15985,709.00146,7.645403,24.602072,0.025778595,0.4846602668881189,0.0019053848604346183,1600.77917,1600.782895,1600.77917,511.6668701171875,2407446.0149272773,10515137.860625861,POINT (2407446.0149272773 10515137.860625861)
43,132,271,1599.875,24.1363525390625,481.82727,1190.8287,5.014052,29.616123,0.0104063265,0.05009337166330262,0.00024331618837935575,1600.77795,1600.77917,1600.77795,511.6363525390625,2407451.0149272773,10515137.860625861,POINT (2407451.0149272773 10515137.860625861)
43,132,272,1599.875,24.0875244140625,481.82715,1672.6559,5.0003605,34.616486,0.010377914,0.04999204484881159,0.0003899718838638801,1600.776,1600.77795,1600.776,511.5875244140625,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
43,135,267,1599.9375,2554.35791015625,34.394516,34.394516,3.4454544,3.4454544,0.13007891,250427.99599978758,0.0,1600.81421,1600.8142100000002,1600.81421,512.542724609375,2407431.0149272773,10515152.860625861,POINT (2407431.0149272773 10515152.860625861)
44,132,271,1599.875,48.272705078125,436.27643,921.6393,6.839365,23.846798,0.017610213,0.3765744544830607,0.001366683151352862,1600.77795,1600.78015,1600.77795,511.6363525390625,2407451.0149272773,10515137.860625861,POINT (2407451.0149272773 10515137.860625861)
44,132,272,1599.875,24.0875244140625,481.82727,1403.4666,5.089122,28.935919,0.010562129,0.04999203218339203,0.00038317023435097266,1600.776,1600.77795,1600.776,511.5875244140625,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
44,133,270,1599.875,24.2462158203125,253.3786,485.36285,6.193772,17.007431,0.024444731,0.09569164766684612,0.0006894022109675961,1600.78235,1600.78662,1600.78235,511.7462158203125,2407446.0149272773,10515142.860625861,POINT (2407446.0149272773 10515142.860625861)
44,135,268,1599.9062,2496.3348388671875,1.0,1.0,0.11528305,0.11528305,0.11528305,247161.86523510067,0.0,1600.80115,1600.80115,1600.80115,512.2161865234375,2407436.0149272773,10515152.860625861,POINT (2407436.0149272773 10515152.860625861)
