particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
130,15112.5,0.0,7.903225806451613e+29,8.387096774193548e+29,1600.1562,12011.071,124.07399,0.120388225,0.0,-3.899858207639465e+26,5.0,5.0,0.5
131,14625.0,0.0,8.499999999999999e+29,8.999999999999999e+29,1600.1562,8202.17,118.521965,0.12435779,0.0,-4.218627322679865e+26,5.0,5.0,0.5
132,14137.5,0.0,9.482758620689656e+29,9.655172413793104e+29,1600.1406,6311.0547,113.51797,0.12847197,0.0,-1.5188238242766254e+26,5.0,5.0,0.5
133,13650.0,0.0,1e+30,1e+30,1600.1406,5118.3784,109.971245,0.13317217,0.0,0.0,5.0,5.0,0.5
134,12675.0,0.0,1e+30,1e+30,1600.125,9000.17,105.46918,1.8129827,0.0,0.0,5.0,5.0,0.5
135,8775.0,0.0,1e+30,1e+30,1600.2031,30008.693,99.81144,92.5757,0.0,0.0,5.0,5.0,0.5
136,9262.5,0.0,1e+30,1e+30,1600.1562,9205.625,70.25755,9.765454,0.0,0.0,5.0,5.0,0.5
137,10237.5,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.875,991.5151,69.93025,0.14585969,0.0,0.0,5.0,5.0,0.5
138,11212.5,0.0,1e+30,1e+30,1599.875,2172.6853,79.824265,0.12273288,0.0,0.0,5.0,5.0,0.5
139,7800.0,0.0,1e+30,1e+30,1599.9688,36510.348,72.81005,1.2042832,0.0,0.0,5.0,5.0,0.5
140,2437.5,0.0,0.0,2.0000000000000002e+29,1600.3125,3788.281,14.717727,0.017009825,0.0,-1.3589055156095956e+28,5.0,5.0,0.5
141,4387.5,0.0,3.333333333333334e+29,5.555555555555555e+29,1600.2031,12919.272,27.320738,0.0076728943,0.0,-8.133829457090136e+27,5.0,5.0,0.5
142,3900.0,0.0,1.25e+29,3.7500000000000004e+29,1600.2031,8501.033,21.847559,0.0068598813,0.0,-1.1442925970977301e+28,5.0,5.0,0.5
143,16575.0,0.0,6.61764705882353e+29,7.058823529411766e+29,1600.1562,15734.836,137.37196,0.110353895,0.0,-3.2115466602113385e+26,5.0,5.0,0.5
144,16087.5,0.0,6.81818181818182e+29,7.272727272727273e+29,1600.1562,13340.73,130.8517,0.113534644,0.0,-3.4737451262697495e+26,5.0,5.0,0.5
145,15600.0,0.0,7.34375e+29,7.8125e+29,1600.1562,10293.905,124.56354,0.11704682,0.0,-3.763139752132569e+26,5.0,5.0,0.5
146,14625.0,0.0,8.333333333333334e+29,8.999999999999999e+29,1600.1562,5056.568,115.68858,0.12818192,0.0,-5.76259685462064e+26,5.0,5.0,0.5
147,14137.5,0.0,9.310344827586206e+29,9.655172413793104e+29,1600.1562,3775.6338,110.247345,0.14531554,0.0,-3.127763179226961e+26,5.0,5.0,0.5
148,13650.0,0.0,1e+30,1e+30,1600.1406,2818.414,105.799286,0.13601896,0.0,0.0,5.0,5.0,0.5
149,13162.5,0.0,9.999999999999999e+29,9.999999999999999e+29,1600.1406,2929.4277,102.408585,0.15886144,0.0,0.0,5.0,5.0,0.5
150,12187.5,0.0,1e+30,1e+30,1600.1406,8627.77,98.260315,2.9981635,0.0,0.0,5.0,5.0,0.5
