nlay,nrow,ncol,elevation
0,152,253,1601.2440185546875
0,152,254,1601.243408203125
0,152,255,1601.2421875
0,152,256,1601.2415771484375
0,153,237,1601.263916015625
0,153,238,1601.26220703125
0,153,239,1601.26123046875
0,153,240,1601.2598876953125
0,153,241,1601.258544921875
0,153,242,1601.2578125
0,153,243,1601.256591796875
0,153,244,1601.2559814453125
0,153,245,1601.254638671875
0,153,246,1601.2540283203125
0,153,247,1601.25244140625
0,153,248,1601.2515869140625
0,153,249,1601.25
0,153,250,1601.2490234375
0,153,251,1601.247314453125
0,153,252,1601.2464599609375
0,153,253,1601.2449951171875
0,153,254,1601.244140625
0,153,255,1601.2425537109375
0,153,256,1601.2418212890625
0,154,236,1601.2711181640625
0,154,237,1601.26953125
0,154,238,1601.2659912109375
0,154,239,1601.2647705078125
0,154,240,1601.2626953125
0,154,241,1601.2608642578125
0,154,242,1601.2601318359375
0,154,243,1601.258544921875
0,154,244,1601.2578125
0,154,245,1601.256591796875
0,154,246,1601.2557373046875
0,154,247,1601.2542724609375
0,154,248,1601.253662109375
0,154,249,1601.251953125
0,154,250,1601.2508544921875
0,154,251,1601.2491455078125
0,154,252,1601.248046875
0,154,253,1601.24658203125
0,154,254,1601.245849609375
0,154,255,1601.244140625
0,155,236,1601.274169921875
0,155,237,1601.2718505859375
0,155,238,1601.268310546875
0,155,239,1601.2672119140625
0,155,240,1601.264404296875
0,155,241,1601.2623291015625
0,155,242,1601.2613525390625
0,155,243,1601.259765625
0,155,244,1601.2589111328125
0,155,245,1601.2574462890625
0,155,246,1601.2568359375
0,155,247,1601.2552490234375
0,155,248,1601.2545166015625
0,155,249,1601.2530517578125
0,155,250,1601.2520751953125
0,155,251,1601.250244140625
0,155,252,1601.249267578125
0,155,253,1601.247314453125
0,155,254,1601.246337890625
0,155,255,1601.2451171875
0,156,234,1601.283935546875
0,156,235,1601.283203125
0,156,236,1601.280029296875
0,156,237,1601.277587890625
0,156,238,1601.273681640625
0,156,239,1601.27197265625
0,156,240,1601.2686767578125
0,156,241,1601.2657470703125
0,156,242,1601.264404296875
0,156,243,1601.26220703125
0,156,244,1601.2613525390625
0,156,245,1601.259521484375
0,156,246,1601.2587890625
0,156,247,1601.25732421875
0,156,248,1601.256591796875
0,156,249,1601.255126953125
0,156,250,1601.2542724609375
0,156,251,1601.25244140625
0,156,252,1601.2510986328125
0,156,253,1601.24853515625
0,157,234,1601.2882080078125
0,157,235,1601.287109375
0,157,236,1601.2833251953125
0,157,237,1601.2811279296875
0,157,238,1601.27685546875
0,157,239,1601.27490234375
0,157,240,1601.271240234375
0,157,241,1601.267822265625
0,157,242,1601.266357421875
0,157,243,1601.2637939453125
0,157,244,1601.2625732421875
0,157,245,1601.2607421875
0,157,246,1601.260009765625
0,157,247,1601.25830078125
0,157,248,1601.2578125
0,157,249,1601.25634765625
0,157,250,1601.25537109375
0,157,251,1601.2535400390625
0,157,252,1601.252197265625
0,158,234,1601.299560546875
0,158,235,1601.2984619140625
0,158,236,1601.2933349609375
0,158,237,1601.289794921875
0,158,238,1601.28466796875
0,158,239,1601.2822265625
0,158,240,1601.2777099609375
0,158,241,1601.2734375
0,158,242,1601.271484375
0,158,243,1601.267822265625
0,158,244,1601.26611328125
